Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,uid
25,Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,29-191,1992,1.0,1,0,0,0,0,0.7,0.14,-0.3,-0.31,5,23,21.7,40,3,50.0,38.3,5,60.0,47.2,5,0,0.0,0,0.0,17.0,Matches,a70b8345
26,Marvin Schwäbe\87436846,de GER,GK,Köln,26-292,1995,9.0,13,0,1,0,0,11.6,0.28,-1.4,-0.15,54,112,48.2,345,37,26.4,31.2,67,31.3,34.0,72,3,4.2,3,0.33,14.1,Matches,87436846
27,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,29-254,1992,21.0,43,3,1,7,0,40.8,0.36,-2.2,-0.1,143,347,41.2,585,118,39.0,36.0,172,69.2,51.7,233,10,4.3,15,0.71,13.6,Matches,0d55d942
28,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,33-056,1988,21.0,38,1,1,3,1,40.6,0.34,3.6,0.17,144,324,44.4,733,93,36.2,34.3,132,44.7,39.3,144,10,6.9,23,1.1,15.4,Matches,420c18a1
29,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,31-218,1990,20.0,31,3,0,4,0,32.4,0.31,1.4,0.07,144,415,34.7,654,89,49.2,38.2,158,58.9,47.8,170,5,2.9,22,1.1,15.8,Matches,ce17b5eb
30,Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,33-192,1988,1.0,2,0,0,1,0,2.0,0.5,0.0,0.0,6,8,75.0,43,6,18.6,25.9,3,0.0,17.0,3,1,33.3,3,3.0,21.1,Matches,7d3e7da6
31,Benjamin Uphoff\a9a6fc08,de GER,GK,Freiburg,28-187,1993,2.0,7,0,0,2,0,3.3,0.28,-3.7,-1.84,25,53,47.2,70,14,47.1,38.2,20,100.0,65.7,14,1,7.1,2,1.0,13.0,Matches,a9a6fc08
32,Robin Zentner\5c4bf6ba,de GER,GK,Mainz 05,27-106,1994,21.0,23,2,0,0,1,22.2,0.29,0.2,0.01,86,251,34.3,492,115,37.4,36.5,160,41.9,39.1,170,15,8.8,26,1.24,16.8,Matches,5c4bf6ba
1,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,17,0,0,2,1,18.9,0.34,2.9,0.14,90,182,49.5,649,103,21.9,30.0,95,42.1,37.9,139,15,10.8,30,1.43,17.1,Matches,7a2e46a8
2,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1.0,1,0,0,0,0,1.4,0.48,0.4,0.43,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0.0,7.0,Matches,2f965a72
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4.0,2,0,0,1,0,3.5,0.27,1.5,0.38,16,39,41.0,118,28,28.0,30.8,21,28.6,30.3,31,1,3.2,5,1.25,16.0,Matches,28d596a0
4,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11.0,26,3,1,4,2,21.2,0.31,-2.8,-0.25,79,207,38.2,248,40,61.3,47.1,80,68.8,51.5,103,3,2.9,8,0.73,13.7,Matches,1c0eea98
5,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1.0,3,0,0,0,1,0.9,0.31,-1.1,-1.08,5,16,31.3,11,2,72.7,50.5,12,66.7,49.6,5,1,20.0,0,0.0,15.0,Matches,7b4de647
6,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3.0,6,0,1,0,1,5.6,0.37,0.6,0.21,12,46,26.1,73,12,41.1,33.4,32,50.0,40.0,33,0,0.0,1,0.33,12.3,Matches,cc70a1d5
7,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2.0,5,0,0,1,0,4.3,0.4,-0.7,-0.36,20,39,51.3,46,0,58.7,42.0,13,92.3,59.1,21,1,4.8,4,2.0,22.0,Matches,a179d516
8,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8.0,15,2,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.5,14.9,Matches,cde3309f
9,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-027,1989,10.0,17,1,0,2,1,18.1,0.39,2.1,0.21,91,214,42.5,234,38,49.6,41.5,107,91.6,62.6,81,6,7.4,3,0.3,11.9,Matches,3a949a25
10,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-178,1993,23.0,14,1,0,1,0,12.5,0.23,-1.5,-0.06,89,157,56.7,581,106,22.5,29.5,88,29.5,34.3,120,11,9.2,24,1.04,17.3,Matches,3bb7b8b4
11,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-299,1985,23.0,30,1,1,4,0,31.4,0.31,1.4,0.06,149,367,40.6,420,85,56.4,45.0,177,73.4,54.6,210,8,3.8,5,0.22,12.0,Matches,9328b835
12,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-304,1998,12.0,24,1,0,5,2,24.4,0.35,2.4,0.2,82,247,33.2,417,56,48.0,38.6,83,56.6,41.0,123,7,5.7,10,0.83,14.3,Matches,f127d782
13,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,33-331,1988,6.0,10,2,0,1,1,11.3,0.33,2.3,0.39,46,126,36.5,143,16,59.4,47.9,51,80.4,55.3,81,7,8.6,5,0.83,12.3,Matches,c3e39f12
14,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-314,1983,11.0,15,0,0,2,0,14.5,0.36,-0.5,-0.04,101,273,37.0,276,26,69.2,51.7,94,87.2,62.8,103,5,4.9,10,0.91,16.7,Matches,d0b3ceb9
15,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-096,1990,23.0,31,1,0,4,2,38.5,0.33,9.5,0.41,92,238,38.7,365,76,38.6,36.2,181,53.6,43.8,192,7,3.6,4,0.17,13.5,Matches,7ba6d84e
16,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-032,1987,20.0,29,3,1,9,0,24.3,0.27,-4.7,-0.23,105,216,48.6,502,112,32.1,31.8,128,43.0,34.7,155,13,8.4,10,0.5,14.1,Matches,ab13a5aa
17,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-020,1996,4.0,9,2,0,0,0,8.0,0.34,-1.0,-0.25,27,73,37.0,102,17,56.9,41.9,28,53.6,42.5,34,1,2.9,4,1.0,15.6,Matches,e082af5b
18,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-018,1987,2.0,6,0,0,1,1,3.3,0.27,-1.7,-0.84,26,65,40.0,58,8,75.9,57.4,22,95.5,70.0,20,1,5.0,3,1.5,15.9,Matches,76eca7e2
19,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-080,1998,2.0,2,0,0,0,0,2.2,0.3,0.2,0.12,8,16,50.0,77,12,18.2,26.4,13,15.4,26.2,10,0,0.0,3,1.5,16.1,Matches,62d7ef38
20,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-314,1988,19.0,37,4,0,5,2,34.0,0.33,-1.0,-0.05,131,342,38.3,571,94,46.1,40.3,147,53.7,45.0,168,7,4.2,8,0.42,12.8,Matches,f23f9d20
21,Bernd Leno\2628fd2b,de GER,GK,Arsenal,29-344,1992,3.0,9,0,0,1,0,7.1,0.39,-1.9,-0.65,11,39,28.2,61,11,37.7,36.3,26,61.5,45.7,30,2,6.7,1,0.33,13.1,Matches,2628fd2b
22,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-047,1986,21.0,27,1,0,3,1,27.1,0.31,1.1,0.05,111,229,48.5,348,67,43.1,37.1,160,49.4,38.5,194,10,5.2,15,0.71,15.0,Matches,8f62b6ee
23,Jonas Lössl\939bc634,dk DEN,GK,Brentford,33-010,1989,2.0,5,0,0,0,0,3.7,0.54,-1.3,-0.63,13,30,43.3,49,6,53.1,38.9,13,30.8,34.4,14,0,0.0,4,2.0,19.7,Matches,939bc634
24,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,29-162,1992,21.0,32,3,1,5,1,25.9,0.26,-5.1,-0.24,127,317,40.1,496,78,47.0,39.6,166,50.6,42.1,164,9,5.5,16,0.76,14.2,Matches,7956236f
25,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,32-070,1989,15.0,21,0,0,6,0,20.8,0.35,-0.2,-0.02,72,241,29.9,341,61,46.3,39.9,109,76.1,56.8,135,17,12.6,3,0.2,12.4,Matches,36c2ca73
26,Edouard Mendy\33887998,sn SEN,GK,Chelsea,29-347,1992,20.0,16,4,0,1,1,15.7,0.2,0.7,0.04,68,155,43.9,453,80,26.0,29.6,101,36.6,32.3,158,14,8.9,14,0.7,14.0,Matches,33887998
27,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,21-346,2000,22.0,43,3,2,7,1,36.1,0.31,-5.9,-0.27,86,273,31.5,663,141,31.2,31.2,183,36.1,34.8,134,13,9.7,23,1.05,15.2,Matches,6b625ac2
28,Jordan Pickford\4806ec67,eng ENG,GK,Everton,27-341,1994,20.0,35,1,1,8,2,29.9,0.31,-3.1,-0.16,143,436,32.8,475,71,65.9,50.6,148,83.1,65.3,172,14,8.1,15,0.75,15.5,Matches,4806ec67
29,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29-298,1992,18.0,22,0,1,4,0,22.3,0.29,0.3,0.02,162,416,38.9,375,63,74.7,53.8,148,91.9,64.9,178,18,10.1,27,1.5,18.0,Matches,4b40d9ca
30,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23-273,1998,19.0,16,3,0,0,0,16.7,0.2,0.7,0.04,115,324,35.5,547,97,41.9,37.9,122,77.9,59.7,162,15,9.3,12,0.63,14.8,Matches,466fb2c5
31,David Raya\98ea5115,es ESP,GK,Brentford,26-149,1995,10.0,11,1,0,1,0,10.0,0.26,-1.0,-0.1,95,256,37.1,372,48,51.9,42.7,85,74.1,54.3,83,9,10.8,15,1.5,15.4,Matches,98ea5115
32,José Sá\903b6e8b,pt POR,GK,Wolves,29-025,1993,22.0,17,4,1,1,0,23.4,0.24,6.4,0.29,93,292,31.8,462,125,46.3,41.4,147,53.1,44.6,200,21,10.5,23,1.05,15.3,Matches,903b6e8b
33,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-085,1997,21.0,21,2,0,4,0,21.6,0.25,0.6,0.03,115,341,33.7,768,93,33.3,36.4,134,63.4,51.4,183,25,13.7,24,1.14,15.4,Matches,6a713852
34,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-098,1986,21.0,39,5,1,10,1,35.2,0.28,-2.8,-0.14,159,390,40.8,588,89,48.1,40.2,186,57.5,46.6,191,15,7.9,9,0.43,12.3,Matches,53af52f3
35,Jason Steele\28300a16,eng ENG,GK,Brighton,31-177,1990,1.0,2,0,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50.0,43.8,11,1,9.1,0,0.0,13.0,Matches,28300a16
36,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-141,1992,1.0,3,0,0,0,0,1.8,0.45,-1.2,-1.2,5,13,38.5,30,6,30.0,34.4,6,66.7,53.8,8,1,12.5,1,1.0,14.3,Matches,a8a3d139
